['北京市高级人民法院', '2022-01-07', '2022-01-07']
['北京市第二中级人民法院', '2022-03-18', '2022-03-18']
['北京市第二中级人民法院', '2022-03-29', '2022-03-29']
['北京市第二中级人民法院', '2022-03-21', '2022-03-21']
['北京市第二中级人民法院', '2022-02-28', '2022-02-28']
['北京市第二中级人民法院', '2022-02-24', '2022-02-24']
['北京市第二中级人民法院', '2022-01-29', '2022-01-29']
['北京市第二中级人民法院', '2022-03-24', '2022-03-24']
['北京市第二中级人民法院', '2022-03-31', '2022-03-31']
['北京市第二中级人民法院', '2022-01-27', '2022-01-27']
['北京市第二中级人民法院', '2022-01-25', '2022-01-25']
['北京市第二中级人民法院', '2022-03-28', '2022-03-28']
['北京市第二中级人民法院', '2022-01-26', '2022-01-26']
['北京市第二中级人民法院', '2022-04-29', '2022-04-29']
['北京市第二中级人民法院', '2022-04-27', '2022-04-27']
['北京市第二中级人民法院', '2022-01-28', '2022-01-28']
['北京市第二中级人民法院', '2022-04-28', '2022-04-28']
['北京市第二中级人民法院', '2022-04-26', '2022-04-26']
['北京市第二中级人民法院', '2022-02-23', '2022-02-23']
['北京市第二中级人民法院', '2022-06-30', '2022-06-30']
['北京市第二中级人民法院', '2022-02-25', '2022-02-25']
['北京市第二中级人民法院', '2022-06-28', '2022-06-28']
['北京市第二中级人民法院', '2022-07-28', '2022-07-28']
['北京市第二中级人民法院', '2022-07-27', '2022-07-27']
['北京市第二中级人民法院', '2022-07-29', '2022-07-29']
['北京市第二中级人民法院', '2022-06-29', '2022-06-29']
['天津市高级人民法院', '2022-03-31', '2022-03-31']
['天津市第一中级人民法院', '2022-03-11', '2022-03-11']
['天津市第二中级人民法院', '2022-03-28', '2022-03-28']
['河北省张家口市中级人民法院', '2022-03-28', '2022-03-28']
['河北省承德市中级人民法院', '2022-04-27', '2022-04-27']
